Unnamed: 0,number,type,date,contact_type,short_description,content,category,subcategory,customer,resolved_at,close_notes,agent,reassigned_count,resolution_time,issue/request,software/system,output,assignment_group,item_id,role,poor_close_notes,info_score_close_notes,info_score_poor_close_notes
95,TASK0049665,Request,3/31/2021 16:10,Phone,HP Envy Photo 7855 software setup issue,I'm experiencing consistent errors while attempting to install the software for my HP Envy Photo 7855. Could you provide guidance on how to overcome these installation hurdles?,PRINTER,INSTALLATION,"Chen, Li",4/1/2021 21:44,"Assisted the customer with the installation of software for the HP Envy Photo 7855 printer. Guided them through a step-by-step process, ensuring that they had the correct drivers and software version compatible with their operating system. Checked for any potential conflicts with existing software and guided the removal of old printer drivers. Verified successful installation and operation of the printer software. Customer confirmed that the printer is now functioning correctly.","Villanueva, Elena",0,144.43,HP Envy Photo 7855 Printer software installation issue,Printer,Software/System: Printer ; Issue/Request: HP Envy Photo 7855 Printer software installation issue,PRINTER TEAM,7632,customer,The issue has been resolved,0.8,0.0
96,TASK0037851,Request,1/22/2021 13:55,Phone,Request from project management team for TMS360 version 4.1 installation to improve workflow efficiency.,"A collective request from the project management team for TMS360 version 4.1, aiming to improve their workflow efficiency. 
Performed a review for software licensing and hardware suitability. 

This installation demand is now with the Software Implementation Group.",SOFTWARE,INSTALLATION,"Kelly, Emma",1/22/2021 15:05,Reviewed the request for TMS360 version 4.1 installation. Verified software licensing and confirmed that current hardware is suitable for the installation. Forwarded the demand to the Software Implementation Group for execution. Installation to be scheduled and carried out as per their availability.,"Walsh, Derek",0,70.66,TMS360 Install Request,TMS360,Software/System: TMS360 ; Issue/Request: TMS360 Install Request,SOFTWARE DEVELOPMENT,1907,agent,Resolved,0.6000000000000001,0.0
97,INC0093707,Incident,1/6/2021 15:16,Self-service,Dashboard rendering intermittent issues addressed,"Received a report of intermittent rendering failures from a customer using Tableau. The issue was inconsistent visual displays on the dashboard. After confirming it's not a data source issue, we explored local network settings and had the customer attempt access from alternative locations. Further inspection revealed updates were needed on their Tableau version. Instructed the customer on performing the update which successfully restored consistent dashboard functionality.",SOFTWARE,ERROR,"Phillips, Aaron",,"Investigated the intermittent rendering failures reported by the customer in Tableau. 
Confirmed that the issue was not related to the data source by reviewing the data connections. 
Explored local network settings and advised the customer to test dashboard access from different locations. 
Identified that the customer's Tableau version was outdated and needed an update. 
Instructed the customer on how to perform the update to the latest version. 
After the update, the dashboard functionality was restored, and rendering issues were resolved. 
The customer confirmed that they are now able to access the dashboard without any further problems. 
Ticket closed as the issue has been successfully addressed and the customer is satisfied with the resolution.","Wood, John",3,10461.0062,Dashboard rendering issues,Tableau,Software/System: Tableau ; Issue/Request: Dashboard rendering issues,,12212,agent,Issue resolved. The customer's dashboard is working properly now.,0.9,0.1
98,INC0061263,Incident,2/18/2021 14:54,Chat,Google Calendar integration failure,"The customer is having trouble with Trello's integration with Google Calendar. They have enabled this feature, but tasks do not appear in their calendar. They have also attempted re-authorizing access but have seen no improvement.",SOFTWARE,ERROR,"Flores, Rachel",,"Investigated the integration issue between Trello and Google Calendar.  
Checked the customer's Trello settings to confirm that the Google Calendar integration was enabled.  
Re-authorized the connection to Google Calendar, but tasks still did not appear in the calendar.  
Reviewed the permissions granted to Trello in the Google account settings to ensure they were sufficient.  
Found no error messages during the re-authorization process, indicating that the connection was established.  
Provided the customer with troubleshooting steps, including checking for any updates on both Trello and Google Calendar.  
Suggested they clear their browser cache and cookies as a potential fix.  
The customer followed the steps and reported that tasks are now visible in their Google Calendar.  
Confirmed that the integration is functioning as expected.  
Ticket closed as the issue has been resolved and the customer is satisfied with the outcome.","Bell, Camila",3,14635.54416,Integration connection problems,Trello,Software/System: Trello ; Issue/Request: Integration connection problems,,12156,agent,The integration issue with Google Calendar has been addressed. No further action is needed.,0.8,0.1
99,TASK0040913,Request,2/10/2021 12:33,Phone,Request for additional Pipedrive licenses to support projects,"Received a request from several team members for additional Pipedrive licenses to support their projects. Evaluated our license inventory and identified the necessity based on their usage patterns. 

Currently, this is being escalated to the Licensing Team.",ACCOUNT,ACCESS,"Rivera, Xavier",2/10/2021 16:10,"Received a request from several team members for additional Pipedrive licenses. Evaluated the current license inventory and usage patterns, confirming the necessity for additional licenses. Added new licenses to the account, distributed them to the requesting team members, and verified access. Sent an email confirmation to the requesters. No further issues reported.","Walsh, Derek",0,217.69,Pipedrive License Request,Pipedrive,Software/System: Pipedrive ; Issue/Request: Pipedrive License Request,ASSET MANAGEMENT,3423,agent,No further information.,0.8,0.0
100,INC0041649,Incident,2/13/2021 14:21,Phone,Users experiencing sluggish performance with Salesforce during large queries,"Users are experiencing sluggish behavior with Salesforce when executing large queries. Preliminary checks were performed to eliminate the possibility of hardware issues. 

The concern has been escalated to the Performance Optimization Team.",SOFTWARE,MALFUNCTION,"Wood, Madeline",2/13/2021 15:39,Issue resolved by optimizing query performance. Initially ruled out hardware issues through diagnostic tests. Verified network latency was within acceptable limits. Updated Salesforce query parameters to improve efficiency and reduced load times significantly. Conducted user verification and confirmed resolution.,"Robinson, Brian",1,78.24,Salesforce Slow Performance Issue,Salesforce,Software/System: Salesforce ; Issue/Request: Salesforce Slow Performance Issue,SALESFORCE TEAM,3795,agent,Fixed,0.8,0.0
101,INC0095414,Incident,1/22/2021 6:45,Chat,Customer's token battery expired,Responded to a customer who reported their RSA SecureID token battery is dead. Advised them on the process for requesting a replacement token and temporarily adjusting their access to bypass the issue until the replacement arrives.,SOFTWARE,ERROR,"Sanders, Ellie",,"Responded to the customer's report regarding their RSA SecureID token battery being expired. 
Informed the customer about the process for requesting a replacement token. 
Guided them on how to temporarily adjust their access to bypass the issue until the new token arrives. 
Ensured the customer understood the steps to take for the replacement request and the temporary access adjustments. 
The customer expressed appreciation for the assistance provided. 
Ticket closed as the issue has been resolved and the customer is satisfied with the solution.","Hernandez, Matthew",2,329.1208961,Hardware token battery depletion,RSA SecureID,Software/System: RSA SecureID ; Issue/Request: Hardware token battery depletion,,12803,agent,Token battery issue addressed. Customer advised on replacement process.,0.6000000000000001,0.2
102,INC0038111,Incident,2/13/2021 13:25,Email,Resolving slow Power BI report loading,"A user has raised a concern regarding increased loading times for their Power BI reports which they rely on for everyday decision-making. This issue has been persistent for over a week, despite stable network connections and unchanged dataset sizes. Current actions include reviewing server performance and checking for updates or patches that may impact performance. Further communication with the user will be initiated to gather additional information and provide an update on progress.",SOFTWARE,ERROR,"Allen, Ella",,"Investigated the user's concerns regarding slow loading times for Power BI reports.  
Reviewed server performance metrics and found no significant issues impacting speed.  
Checked for any available updates or patches for Power BI and confirmed that the software is up to date.  
Engaged in further communication with the user to gather additional details about their specific reports and usage patterns.  
Advised the user on optimizing report design and reducing the complexity of visuals where possible.  
Monitored the situation over the following days and noted an improvement in loading times after implementing suggested changes.  
The user has reported satisfaction with the current performance of their reports.  
Ticket closed as the issue has been resolved and the user is now able to use Power BI effectively.","Hernandez, Juan",3,5272.633142,Slow report loading,Power BI,Software/System: Power BI ; Issue/Request: Slow report loading,,12222,agent,Issue resolved. User can now access Power BI reports without delays.,0.8,0.2
103,INC002693,Incident,1/23/2021 12:53,Email,Ping Identity Error  - ERR_CONNECTION_RESET,"Customer has an issue with Ping Identity and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']""ERR_CONNECTION_RESET""

Clicked the check box to remember the password

Issue resolved
Escalating to FPPO TEAM",SOFTWARE,ERROR,"Turner, Victoria",1/23/2021 15:00,"Investigated the reported error message ""ERR_CONNECTION_RESET"" related to Ping Identity. 
Checked the customer's configuration and confirmed that the password remember feature was enabled. 
After reviewing the settings, the issue was resolved without further complications. 
Informed the customer of the resolution and confirmed that they were able to access Ping Identity successfully. 
As a precaution, escalated the case to the FPPO Team for further monitoring and support if necessary. 
Ticket closed as the issue has been resolved and the customer is satisfied with the outcome.","Alvarez, Xavier",1,7635.472035,Error - ERR_CONNECTION_RESET,Ping Identity,Software/System: Ping Identity ; Issue/Request: Error - ERR_CONNECTION_RESET,TIER 2 TEAM,8982,agent,Issue resolved. Escalated to FPPO Team.,0.6000000000000001,0.0
104,INC005978,Incident,1/12/2021 10:22,Phone,CyberArk Privileged Access Management Issue  - Failed to load paging service,"I'm having a problem with CyberArk Privileged Access Management software. Every time I try to use it, I get an error message saying 'Failed to load paging service.' I've already tried restarting both the application and my computer, but it hasn't resolved the issue.",SOFTWARE,ERROR,"Hernandez, Christopher",1/12/2021 17:54,"Remoted in to the customer's system to investigate the CyberArk Privileged Access Management issue. 
Checked the application logs and confirmed the error message 'Failed to load paging service' was consistently appearing during startup. 
Reviewed the configuration settings and found no discrepancies that would cause the paging service to fail. 
Attempted to restart the CyberArk service manually, but the issue persisted. 
Recommended the customer to ensure that all necessary dependencies for CyberArk are installed and up to date. 
Instructed the customer to check for any recent updates or patches for the CyberArk software that may address this issue. 
After applying the latest updates, the paging service loaded successfully, and the application functioned as expected. 
The customer confirmed that they could now access the CyberArk Privileged Access Management software without any errors. 
Ticket closed as the issue has been resolved and the customer is satisfied with the outcome.","Price, Andrew",1,27169.59225,Error - Failed to load paging service,CyberArk Privileged Access Management,Software/System: CyberArk Privileged Access Management ; Issue/Request: Error - Failed to load paging service,TIER 2 TEAM,8605,customer,Issue resolved. Customer can now use CyberArk.,0.8,0.1
105,INC005071,Incident,1/23/2021 12:53,Email,Travis CI Not Opening ,"I've been trying to use Travis CI for my projects, but I keep getting an error message saying 'Error: Cannot read from drive X:'. I checked the box to remember the password, but the problem is still there. Can you help me fix this?",SOFTWARE,ERROR,"Nguyen, Ava",1/23/2021 18:43,"Investigated the error message 'Error: Cannot read from drive X:' that the customer encountered while using Travis CI. 
Checked the drive mappings and confirmed that drive X: was not accessible due to a network issue. 
Guided the customer through the process of remapping the drive and ensuring proper network connectivity. 
Instructed the customer to verify their credentials and re-enter them to resolve any potential authentication issues. 
After remapping and re-authenticating, the customer was able to access Travis CI without any further errors. 
The issue has been resolved, and the customer is now able to use Travis CI for their projects successfully. 
Ticket closed as the customer is satisfied with the resolution.","Perez, Grace",1,21025.80517,Error - Error: Cannot read from drive X:,Travis CI,Software/System: Travis CI ; Issue/Request: Error - Error: Cannot read from drive X:,TIER 2 TEAM,8126,customer,Issue resolved. User can access Travis CI now.,0.8,0.1
106,INC001090,Incident,2/18/2021 9:31,Phone,Puppet Enterprise is not working  - 503 Service Unavailable,"I'm having trouble using Puppet Enterprise. Every time I try to access it, I get an error message that says '503 Service Unavailable'. I also clicked the checkbox to remember my password, but I'm not sure if that's related. Can you help me fix this?",SOFTWARE,ERROR,"Aguirre, Diego",2/18/2021 17:27,"Investigated the '503 Service Unavailable' error when accessing Puppet Enterprise. 
Checked the Puppet Enterprise server status and found that the service was down due to an unexpected outage. 
Restarted the Puppet services and confirmed that they were running correctly afterward. 
Verified the server's resource utilization to ensure there were no performance bottlenecks contributing to the issue. 
Informed the customer that the password remember feature is unrelated to the service availability issue. 
Tested access to Puppet Enterprise post-restart and confirmed that the service was functioning as expected. 
The customer was able to log in successfully without encountering the error. 
Provided recommendations for monitoring the service and suggested contacting support if the issue reoccurs. 
Ticket closed as the issue has been resolved and the customer is satisfied with the outcome.","Howard, Samantha",0,28587.18702,Error - 503 Service Unavailable,Puppet Enterprise,Software/System: Puppet Enterprise ; Issue/Request: Error - 503 Service Unavailable,TIER 2 TEAM,10443,customer,Issue resolved. Customer can access Puppet Enterprise now.,0.8,0.1
107,INC004380,Incident,1/12/2021 10:22,Phone,Dell KACE Systems Management Malfunction ,"I'm having trouble with Dell KACE Systems Management. Every time I try to use it, I keep getting this error message that says 'FATAL: Disk quota exceeded. Cannot write to disk.' I've tried clearing my browser's cookies and cache and even restarted my browser, but nothing's worked so far. I've escalated the issue to Security, but I thought I should report it here too.",SOFTWARE,ERROR,"Sullivan, Nathan",1/12/2021 14:53,"Investigated the reported issue with Dell KACE Systems Management and confirmed the error message 'FATAL: Disk quota exceeded. Cannot write to disk.' 
Checked the current disk usage and identified that the disk quota for the user account had been reached. 
Cleared unnecessary files and data from the account to free up space and resolve the quota issue. 
Informed the user about the importance of regularly monitoring disk usage to avoid similar problems in the future. 
The user reported that they can now access Dell KACE Systems Management without encountering the error message. 
Ticket closed as the issue has been resolved and the user is satisfied with the outcome.","Fisher, Grace",0,16289.85743,Error - FATAL: Disk quota exceeded. Cannot write to disk.,Dell KACE Systems Management,Software/System: Dell KACE Systems Management ; Issue/Request: Error - FATAL: Disk quota exceeded. Cannot write to disk.,TIER 2 TEAM,9725,customer,Issue reported with Dell KACE Systems Management has been noted. No further action required.,0.8,0.0
108,INC0040929,Incident,2/10/2021 13:06,Email,Unable to log in to EQPlan due to 'Invalid Credentials' error.,"There seems to be a problem with EQPlan as I keep getting an error message stating 'Invalid Credentials' when I try to log in, even though I'm entering the correct credentials. I investigated any recent security modifications that might have caused this issue. I've informed the Security Team about this issue for assistance.",ACCOUNT,ACCESS,"Jones, Emily",2/12/2021 15:06,"Issue was related to the user entering correct credentials but still receiving an 'Invalid Credentials' error message while trying to log into EQPlan. Troubleshooting steps included:  1. Verified that the user was entering the correct credentials by having the user dictate the credentials over the phone.  2. Checked for any recent changes in the EQPlan system that might affect login processes.  3. Examined the user's account status and confirmed that it was active and not locked.  4. Cleared the browser cache and cookies and attempted a login again.  5. Attempted to log in using different browsers and devices to rule out browser-specific issues.  6. Reset the user's password and had the user attempt to log in with the new credentials.  7. Verified that there were no ongoing issues with the EQPlan service.Upon completion of these steps, the user was able to log in successfully. Issue resolved.","Fortner, Lucas",3,3000.62,"EQPlan Login Error, 'Invalid Credentials' error",EQPlan,"Software/System: EQPlan ; Issue/Request: EQPlan Login Error, 'Invalid Credentials' error",USER ACCESS MANAGEMENT,3431,customer,Ok standard provided noted.,0.9,0.0
109,TASK0046001,Request,3/11/2021 14:23,Phone,Request for GCP 4.1 installation on design team systems.,"The design team has put forward a request for Google Cloud Platform (GCP) 4.1 to be installed on their systems as soon as possible. They believe it will greatly enhance their creative capabilities. 
System checks and software requirements have been looked into. 

The request is currently under review by the IT Services Department.",SOFTWARE,INSTALLATION,"Hamilton, Elijah",3/11/2021 21:22,"The installation of GCP 4.1 for the design team was successfully completed. The following steps were taken to resolve the issue:
1. Verified that all systems met the necessary hardware and software requirements for GCP 4.1.
2. Downloaded the official GCP 4.1 installer from the Google Cloud platform.
3. Followed the installation instructions provided by Google Cloud, ensuring that all dependencies and prerequisites were properly installed.
4. Conducted a post-installation check to verify that GCP 4.1 was running correctly and all necessary services were operational.
5. Confirmed with design team members that the software was functioning as expected and provided an overview of the new features.
The request was reviewed and approved by the IT Services Department before proceeding with the installation.","Oliver, Zoe",0,419.76,Google Cloud Platform (GCP) Install Request,Google Cloud Platform (GCP),Software/System: Google Cloud Platform (GCP) ; Issue/Request: Google Cloud Platform (GCP) Install Request,CLOUD INFRASTRUCTURE,5953,agent,Issue resolved as expected.,0.9,0.0
110,INC007973,Incident,1/6/2021 15:16,Self-service,Nutanix Enterprise Cloud not working ,"The customer is experiencing an issue with Nutanix Enterprise Cloud and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']'Error 404: Resource not found'

I cleared cookies and cache and restarted the browser
Issue still persists
Escalating to FPPO TEAM",SOFTWARE,ERROR,"Howard, Beverly",1/6/2021 22:12,"Investigated the reported issue with Nutanix Enterprise Cloud and noted that the customer was encountering a ""404: Resource not found"" error message. 
Cleared cookies and cache from the browser as an initial troubleshooting step. 
Restarted the browser to ensure a fresh session was initiated. 
Despite these efforts, the issue persisted, indicating a deeper underlying problem. 
Escalated the ticket to the FPPO Team for further analysis and resolution. 
The customer has been informed of the escalation and is awaiting further assistance. 
Ticket closed as the issue has been escalated for specialized support.","Walsh, Derek",1,25004.27234,Error - Error 404: Resource not found,Nutanix Enterprise Cloud,Software/System: Nutanix Enterprise Cloud ; Issue/Request: Error - Error 404: Resource not found,TIER 2 TEAM,9168,agent,Issue escalated to FPPO TEAM for further investigation. No additional actions taken at this time.,0.6000000000000001,0.1
111,TASK0048290,Request,3/26/2021 8:26,Email,Request for training on advanced features of FacilityPro to improve productivity.,I would like to request training on the advanced features of FacilityPro to enhance my productivity. I believe there are training materials available and would appreciate if a session with a certified trainer could be scheduled. Thank you!,SOFTWARE,CONFIGURATION,"Roberts, Simon",3/26/2021 8:31,Reviewed available training materials and scheduled a session with a certified trainer for the employee. The certified trainer will provide personalized training focusing on the advanced features of FacilityPro that will help improve the employee's productivity. The training session has been successfully booked and the employee has been informed of the date and time.,"Adams, Joseph",0,5.41,FacilityPro Training Request,FacilityPro,Software/System: FacilityPro ; Issue/Request: FacilityPro Training Request,HELPDESK OPERATIONS,7123,customer,Resolved,0.4,0.0
112,INC0074647,Incident,2/18/2021 14:54,Chat,Travis CI Ruby build issue.,"I've been working with a customer who reported their Ruby applications are incompatible with features in the Travis CI build environment. After analyzing the situation, it seems these features aren't yet supported in the Travis CI build image they are using. Suggested assessing if a different build image or additional dependency management might resolve their issue. The customer has been advised on potential solutions and additional inquiries they can make to ensure full support.",SOFTWARE,ERROR,"Gonzales, Diego",,"Analyzed the customer's reported issue with their Ruby applications in the Travis CI build environment. 
Determined that the incompatibility stems from features not yet supported in the current Travis CI build image being used. 
Suggested the customer consider using a different build image that may better support their Ruby applications. 
Also recommended exploring additional dependency management strategies to address the compatibility issues. 
Advised the customer on potential solutions and encouraged them to reach out for further inquiries to ensure full support. 
The customer expressed appreciation for the guidance provided and is now better prepared to resolve their build issues. 
Ticket closed as the customer is satisfied with the assistance received.","Anderson, Emily",0,5026.764545,Unsupported language features in specific build images.,Travis CI,Software/System: Travis CI ; Issue/Request: Unsupported language features in specific build images.,,12999,agent,Issue addressed. Customer advised on options.,0.6000000000000001,0.1
113,INC007058,Incident,3/19/2021 13:13,Email,Oracle ERP Cloud not working ,"Hi, I'm having trouble with Oracle ERP Cloud. When I click the checkbox to remember my password, I'm getting a fatal error message that says, 'IndexError: list index out of range' in a file called 'data_processing.py' at line 112. Can you help me fix this?",SOFTWARE,ERROR,"Murphy, Jack",3/19/2021 18:34,"Investigated the reported issue with Oracle ERP Cloud and the fatal error message 'IndexError: list index out of range' occurring when attempting to remember the password. 
Reviewed the relevant code in 'data_processing.py' at line 112 to identify potential causes for the error. 
Discovered that the error was related to an unhandled case in the list processing logic when the checkbox was selected. 
Implemented a fix to ensure the list is properly checked before accessing its elements, preventing the error from occurring. 
Tested the functionality after applying the fix and confirmed that the password remember feature is now working correctly without any errors. 
Informed the customer of the resolution and provided reassurance that they can now use the feature without issues. 
The customer confirmed that the problem has been resolved and expressed satisfaction with the outcome. 
Ticket closed as the issue has been successfully addressed.","Cole, Layla",2,19312.40243,Error - Fatal error: IndexError: list index out of range in module 'data_processing.py' line 112,Oracle ERP Cloud,Software/System: Oracle ERP Cloud ; Issue/Request: Error - Fatal error: IndexError: list index out of range in module 'data_processing.py' line 112,TIER 2 TEAM,9902,customer,Issue resolved. User can access Oracle ERP Cloud now.,0.9,0.1
114,INC009781,Incident,1/6/2021 15:16,Self-service,Fortinet FortiGate Problem ,"I'm having trouble logging into Fortinet FortiGate. Every time I try to log in, I keep getting an error message that says 'FATAL: password authentication failed for user 'admin''. I've tried clearing my browser's cache and cookies, but it's still not working. Please help!",SOFTWARE,ERROR,"Wright, Charles",1/6/2021 16:46,"Investigated the login issue with Fortinet FortiGate and confirmed the error message 'FATAL: password authentication failed for user 'admin''. 
Advised the customer to verify the username and password for accuracy, as this is a common cause for authentication failures. 
Suggested resetting the password through the FortiGate console if the credentials were forgotten or not working. 
Provided instructions on how to perform a password reset using the console, ensuring the customer had the necessary access. 
The customer successfully reset the password and was able to log in without further issues. 
Confirmed that the customer was satisfied with the resolution and could now access their FortiGate device. 
Ticket closed as the issue has been resolved.","Richardson, Owen",2,5423.053949,Error - FATAL: password authentication failed for user 'admin',Fortinet FortiGate,Software/System: Fortinet FortiGate ; Issue/Request: Error - FATAL: password authentication failed for user 'admin',TIER 2 TEAM,9176,customer,Issue resolved. User can log in now.,0.9,0.0
115,INC003743,Incident,2/3/2021 8:29,Phone,Oracle Database is not working ,"The client is unable to access Oracle Database and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']""Resource temporarily unavailable (errno 11)""

Clicked the check box to remember the password

Issue resolved
Escalated to ANALYST TEAM",SOFTWARE,ERROR,"Anderson, Laura",2/3/2021 16:21,"The client reported being unable to access the Oracle Database and encountered an error message stating ""Resource temporarily unavailable (errno 11)."" 
Investigated the issue and confirmed the error was related to resource availability. 
Escalated the ticket to the Analyst Team for further analysis and resolution. 
The Analyst Team provided guidance and resolved the issue, allowing the client to regain access to the database. 
The client confirmed that they clicked the checkbox to remember the password, which was part of the resolution process. 
The issue has been successfully resolved, and the client is now able to access the Oracle Database without further problems. 
Ticket closed as the issue has been addressed and the client is satisfied with the outcome.","Cole, Layla",1,28340.76974,Error - Resource temporarily unavailable (errno 11),Oracle Database,Software/System: Oracle Database ; Issue/Request: Error - Resource temporarily unavailable (errno 11),TIER 2 TEAM,9102,agent,Issue resolved. Escalated to ANALYST TEAM. No further action required.,0.7000000000000001,0.1
116,TASK0040805,Request,2/10/2021 8:58,Email,Request for additional Microsoft Office 365 licenses,"Received a request from several team members for additional Microsoft Office 365 licenses to support their projects. Evaluated our license inventory and identified the necessity based on their usage patterns. 

Currently, this is being escalated to the Licensing Team.",SOFTWARE,ACCESS,"Hernandez, Miguel",2/10/2021 14:34,"Upon receiving multiple requests from team members for additional Microsoft Office 365 licenses, I evaluated our existing license inventory. This assessment included checking the current usage patterns and comparing them against the available licenses. It was determined that additional licenses are indeed necessary for their ongoing projects. Consequently, I proceeded to procure the required additional licenses through our licensing portal. After the new licenses were acquired, they were successfully assigned to the respective team members. All team members have confirmed that they now have the needed access, and the issue has been resolved.","Baker, Mason",2,336.83,Microsoft Office 365 License Request,Microsoft Office 365,Software/System: Microsoft Office 365 ; Issue/Request: Microsoft Office 365 License Request,USER ACCESS MANAGEMENT,3375,agent,ISSUE RESOLVED,0.8,0.0
117,INC0048439,Incident,3/26/2021 12:34,Email,Issue with exporting reports from Microsoft Azure in desired format,"Issue with exporting reports from Microsoft Azure in the desired format. 
Tested export function with different settings to identify the malfunction. 

Escalating to Technical Support Team",SOFTWARE,MALFUNCTION,"Sanchez, Karen",3/27/2021 7:47,"Issue has been resolved. The initial problem was with the report export function not producing output in the desired format. Troubleshooting steps included verifying user permissions to ensure they had appropriate access to the report export feature, resetting Azure export settings to default, and testing the export function with different parameters. The resolution involved updating Azure to the latest version, which included a fix for the export malfunction. After updating, the export function was tested again and successfully produced the reports in the desired format.","Robinson, Brian",4,1153.5,Microsoft Azure Export Issue,Microsoft Azure,Software/System: Microsoft Azure ; Issue/Request: Microsoft Azure Export Issue,CLOUD INFRASTRUCTURE,7202,customer,Updated,0.8,0.0
118,INC001374,Incident,1/23/2021 12:53,Email,CyberArk Privileged Access Management Not Opening : Fatal: could not read Username for 'https://github.com',"I'm having trouble with CyberArk Privileged Access Management. Every time I try to use it, I get this error message saying 'Fatal: could not read Username for 'https://github.com'. I've already tried restarting both the application and my computer, but nothing changes. Can you help me fix this?",SOFTWARE,ERROR,"Nelson, Christopher",1/23/2021 13:31,"Investigated the error message 'Fatal: could not read Username for 'https://github.com' that the customer encountered while using CyberArk Privileged Access Management. 
Checked the configuration settings for CyberArk and ensured that the Git credentials were properly set up. 
Informed the customer that the issue was likely due to missing or incorrect Git credentials in the local configuration. 
Guided the customer through the process of updating their Git credentials using the command line. 
Verified the successful connection to GitHub after updating the credentials. 
The customer confirmed that CyberArk Privileged Access Management is now functioning correctly without any error messages. 
Ticket closed as the issue has been resolved and the customer is satisfied with the solution provided.","Fisher, Grace",2,2297.766207,Error - Fatal: could not read Username for 'https://github.com',CyberArk Privileged Access Management,Software/System: CyberArk Privileged Access Management ; Issue/Request: Error - Fatal: could not read Username for 'https://github.com',TIER 2 TEAM,10100,customer,Issue resolved. User can access CyberArk now.,0.9,0.1
119,INC007908,Incident,2/18/2021 14:54,Chat,Dell KACE Systems Management Malfunction  : ERROR: ORA-12154: TNS: Could not resolve the connect identifier specified,"The user is having trouble with Dell KACE Systems Management and is receiving the following error message:
['Error: ', 'Issue: ', '', '\t', '  ', '- ']ERROR: ORA-12154: TNS: Could not resolve the connect identifier specified

I attempted to reinstall the application but the error message remains
Escalated to Security",SOFTWARE,ERROR,"Hamilton, Elijah",2/18/2021 17:53,"Investigated the error message ""ORA-12154: TNS: Could not resolve the connect identifier specified"" reported by the user in Dell KACE Systems Management. 
Attempted to resolve the issue by reinstalling the application, but the error persisted. 
Escalated the case to the Security team for further analysis, as the issue may be related to network configurations or database connectivity settings. 
The Security team will take over from here to ensure proper resolution. 
Ticket closed as the issue has been escalated and the user has been informed of the next steps.","Watson, Samuel",3,10793.05207,Error - ERROR: ORA-12154: TNS: Could not resolve the connect identifier specified,Dell KACE Systems Management,Software/System: Dell KACE Systems Management ; Issue/Request: Error - ERROR: ORA-12154: TNS: Could not resolve the connect identifier specified,TIER 2 TEAM,8255,agent,Issue resolved. No further action required.,0.6000000000000001,0.0
120,INC001961,Incident,2/3/2021 9:54,Chat,HashiCorp Vault Malfunction ,"I'm having trouble using HashiCorp Vault. Every time I try, I get an error message that says 'ERROR_BAD_FORMAT (0x8007000B)'. I've already tried restarting the application and my computer, but it didn't fix the problem. Could you please help me resolve this?",SOFTWARE,ERROR,"Long, Lucas",2/3/2021 15:36,"Investigated the reported error message 'ERROR_BAD_FORMAT (0x8007000B)' while using HashiCorp Vault.  
Checked the application version and confirmed it was up to date.  
Reviewed the configuration settings to ensure they were correctly set up.  
Found that the error was related to a misconfigured path in the Vault settings.  
Assisted the customer in correcting the path configuration within the application.  
Tested the application after making the changes, and the error no longer appeared.  
The customer was able to access HashiCorp Vault successfully without further issues.  
Provided additional tips for verifying configurations in the future to avoid similar problems.  
The customer expressed satisfaction with the resolution.  
Ticket closed as the issue has been resolved.","Sanders, Philip",0,20546.57922,Error - ERROR_BAD_FORMAT (0x8007000B),HashiCorp Vault,Software/System: HashiCorp Vault ; Issue/Request: Error - ERROR_BAD_FORMAT (0x8007000B),TIER 2 TEAM,9177,customer,Issue resolved. User can now access HashiCorp Vault without errors.,0.9,0.1
121,INC0046718,Incident,3/16/2021 14:52,Self-service,ZoomInfo experiencing diminished speed during data-intensive operations,"I've been experiencing significantly reduced speeds on ZoomInfo, especially when performing data-heavy tasks. I've checked my hardware and everything seems to be functioning properly. Can you help improve the performance?",SOFTWARE,CONFIGURATION,"Thompson, Joshua",3/19/2021 18:15,"Issue resolved by optimizing ZoomInfo application's performance settings. Performed the following troubleshooting steps: 1) Verified that hardware resources (CPU, RAM, Disk I/O) were not maxed out, confirming that initial checks were correct. 2) Examined application logs and identified several inefficiencies and potential bottlenecks in data processing tasks. 3) Consulted with relevant documentation to adjust performance configuration settings within ZoomInfo. 4) Cleared out any temporary cache and unnecessary data stored within the application that could be causing slowdowns. 5) Monitored application performance post-config changes to ensure improved speed during data-intensive operations. Users confirmed enhanced performance, and normal operation resumed.","Martinez, Isabella",4,4523.43,ZoomInfo Slow Performance Issue,ZoomInfo,Software/System: ZoomInfo ; Issue/Request: ZoomInfo Slow Performance Issue,PERFORMANCE MONITORING,6313,customer,Software Installed,0.9,0.0
